question,answer
チェックインの時間は何時ですか？,チェックインは15:00〜19:00です。事前にご連絡いただければ、遅いチェックインにも対応可能です。修正済
駐車場はありますか？,はい、無料の駐車場を提供しています。大型車の場合は事前にご連絡ください。
Wi-Fiは利用できますか？,全客室でWi-Fiを無料でご利用いただけます。接続情報はチェックイン時にお渡しします。
食事のアレルギー対応はできますか？,はい、アレルギーがある場合は予約時にお知らせください。可能な限り対応いたします。修正済
部屋のタイプはどのようなものがありますか？,和室と洋室の両方をご用意しています。和室は8畳・10畳・12畳、洋室はシングル・ツイン・ダブルがございます。
温泉の効能は何ですか？,当館の温泉は神経痛、筋肉痛、関節痛、五十肩、運動麻痺、関節のこわばり、うちみ、くじき、慢性消化器病、痔疾、冷え性、病後回復期、疲労回復、健康増進に効果があります。
食事はどのような内容ですか？,地元の新鮮な食材を使った会席料理をご提供しています。朝食は和食または洋食からお選びいただけます。修正済
チェックアウトの時間は何時ですか？,チェックアウトは10:00となっております。レイトチェックアウトをご希望の場合は、フロントにご相談ください。
子供連れでも大丈夫ですか？,はい、お子様連れのお客様も大歓迎です。お子様用の浴衣やスリッパ、食事用の椅子もご用意しております。
周辺の観光スポットはありますか？,当館から車で15分以内に、〇〇神社、△△美術館、□□□公園などがございます。詳しい情報はフロントでご案内しております。
