timestamp,question,answer,input_tokens,output_tokens
"2025-04-12 09:20:58","１１","食事","地元の新鮮な食材を使った会席料理をご提供しています。朝食は和食または洋食からお選びいただけます。  ※この回答に不明点がある場合は、直接スタッフにお問い合わせください。","1","2"
"2025-04-12 09:22:10","１１","食","地元の新鮮な食材を使った会席料理をご提供しています。朝食は和食または洋食からお選びいただけます。  ※この回答に不明点がある場合は、直接スタッフにお問い合わせください。","1","2"
"2025-04-12 09:22:29","１１","部屋","和室と洋室の両方をご用意しています。和室は8畳・10畳・12畳、洋室はシングル・ツイン・ダブルがございます。  ※この回答に不明点がある場合は、直接スタッフにお問い合わせください。","1","2"
"2025-04-14 15:05:36","１３","食事","地元の新鮮な食材を使った会席料理をご提供しています。朝食は和食または洋食からお選びいただけます。修正済  ※この回答に不明点がある場合は、直接スタッフにお問い合わせください。","1","2"
"2025-04-14 15:05:41","１３","チェックイン","チェックインは15:00〜19:00です。事前にご連絡いただければ、遅いチェックインにも対応可能です。修正済  ※この回答に不明点がある場合は、直接スタッフにお問い合わせください。","1","2"
"2025-04-14 15:06:10","１５","食事","申し訳ございません。その質問については担当者に確認する必要があります。しばらくお待ちいただけますでしょうか。","1","1"
"2025-04-14 16:47:35","101","観光","当館から車で15分以内に、○○神社、△△美術館、□□公園などがございます。詳しい情報はフロントでご案内しております。","1","1"
"2025-04-14 16:47:54","101","食事","地元の新鮮な食材を使った会席料理をご提供しています。朝食は和食または洋食からお選びいただけます。","1","1"
"2025-04-14 20:33:50","101","チェック","申し訳ございません。その質問については担当者に確認する必要があります。しばらくお待ちいただけますでしょうか。","1","1"
"2025-04-14 20:54:09","１１","食事","地元の新鮮な食材を使った会席料理をご提供しています。朝食は和食または洋食からお選びいただけます。修正済  ※この回答に不明点がある場合は、直接スタッフにお問い合わせください。","1","2"
"2025-04-14 20:54:17","１１","チェックイン","チェックインは15:00〜19:00です。事前にご連絡いただければ、遅いチェックインにも対応可能です。修正済  ※この回答に不明点がある場合は、直接スタッフにお問い合わせください。","1","2"
"2025-04-14 20:54:36","１１","チェックアウト","チェックアウトは10:00となっております。レイトチェックアウトをご希望の場合は、フロントにご相談ください。  ※この回答に不明点がある場合は、直接スタッフにお問い合わせください。","1","2"
"2025-04-15 21:18:23","11","食事","地元の新鮮な食材を使った会席料理をご提供しています。朝食は和食または洋食からお選びいただけます。修正済  ※この回答に不明点がある場合は、直接スタッフにお問い合わせください。","1","2"
"2025-04-15 21:20:28","11","食材","地元の新鮮な食材を使った会席料理をご提供しています。朝食は和食または洋食からお選びいただけます。修正済  ※この回答に不明点がある場合は、直接スタッフにお問い合わせください。","1","2"
"2025-04-16 01:04:34","11","食事","申し訳ありませんが、お探しの情報が見つかりませんでした。最も近い質問は「子供連れでも大丈夫ですか？」ですが、もう少し具体的に質問していただくか、別の言い方でお試しください。","0","0"
"2025-04-16 01:04:54","11","観光","申し訳ありませんが、お探しの情報が見つかりませんでした。最も近い質問は「子供連れでも大丈夫ですか？」ですが、もう少し具体的に質問していただくか、別の言い方でお試しください。","0","0"
"2025-04-16 01:06:30","11","食事","地元の新鮮な食材を使った会席料理をご提供しています。朝食は和食または洋食からお選びいただけます。修正済  ※この回答に不明点がある場合は、直接スタッフにお問い合わせください。","1","2"
